"a_o","armas_medios","barrios_hecho","clasificaciones_delito","conducta","curso_de_vida","descripcion_conducta","dia","dia_semana","edad","estado_civil_persona","fecha_hecho","genero","latitud","longitud","mes","movil_agresor","movil_victima","nom_comuna","orden","zona"
"2011","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","8","viernes","22","SOLTERO","2011-07-08T00:00:00.000","MASCULINO","7.127498","-73.122953","07. julio","A PIE","A PIE","03. San Francisco","11","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","23","viernes","25","SOLTERO","2011-09-23T00:00:00.000","MASCULINO","7.127498","-73.122953","09. septiembre","A PIE","A PIE","03. San Francisco","12","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","24","sábado","53","SOLTERO","2011-12-24T00:00:00.000","MASCULINO","7.127498","-73.122953","12. diciembre","A PIE","A PIE","03. San Francisco","13","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","28","sábado","27","UNION LIBRE","2012-07-28T00:00:00.000","MASCULINO","7.128208496","-73.127004","07. julio","A PIE","A PIE","03. San Francisco","14","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","20","miércoles","59","SOLTERO","2013-03-20T00:00:00.000","MASCULINO","7.128208496","-73.127004","03. marzo","A PIE","A PIE","03. San Francisco","15","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","19","domingo","51","UNION LIBRE","2013-05-19T00:00:00.000","MASCULINO","7.128208496","-73.127004","05. mayo","A PIE","A PIE","03. San Francisco","16","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","4","domingo","23","SOLTERO","2014-05-04T00:00:00.000","MASCULINO","7.123891863","-73.12691922","05. mayo","A PIE","A PIE","03. San Francisco","17","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","17","domingo","33","UNION LIBRE","2016-01-17T00:00:00.000","MASCULINO","7.127444417","-73.12164659","01. enero","PASAJERO MOTOCICLETA","CONDUCTOR VEHICULO","03. San Francisco","18","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","19","sábado","36","UNION LIBRE","2016-03-19T00:00:00.000","MASCULINO","7.124273283","-73.12616993","03. marzo","A PIE","A PIE","03. San Francisco","19","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","20","viernes","41","SOLTERO","2017-01-20T00:00:00.000","MASCULINO","7.126466354","-73.12674929","01. enero","A PIE","A PIE","03. San Francisco","20","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","17","sábado","25","SOLTERO","2017-06-17T00:00:00.000","MASCULINO","7.124124239","-73.12652398","06. junio","A PIE","A PIE","03. San Francisco","21","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","28","viernes","31","SOLTERO","2017-07-28T00:00:00.000","MASCULINO","7.124159182","-73.12695842","07. julio","A PIE","A PIE","03. San Francisco","22","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","8","viernes","46","SOLTERO","2017-09-08T00:00:00.000","MASCULINO","7.13324142","-73.1280791","09. septiembre","A PIE","A PIE","03. San Francisco","23","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","21","sábado","33","SOLTERO","2017-10-21T00:00:00.000","MASCULINO","7.123670132","-73.12587077","10. octubre","A PIE","A PIE","03. San Francisco","24","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","13","domingo","32","SOLTERO","2018-05-13T00:00:00.000","MASCULINO","7.122966002","-73.1281542","05. mayo","A PIE","A PIE","03. San Francisco","25","URBANA"
"2015","ARMA BLANCA / CORTOPUNZANTE","ALFONSO LOPEZ","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","27","sábado","20","UNION LIBRE","2015-06-27T00:00:00.000","MASCULINO","7.115144244","-73.13348363","06. junio","A PIE","A PIE","05. García Rovira","26","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","ALFONSO LOPEZ","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","14","domingo","23","SOLTERO","2016-02-14T00:00:00.000","MASCULINO","7.112232494","-73.12977482","02. febrero","A PIE","A PIE","05. García Rovira","27","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","BUENOS AIRES","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","24","jueves","26","SOLTERO","2018-05-24T00:00:00.000","MASCULINO","7.132345458","-73.1022991","05. mayo","A PIE","A PIE","14. Morrorico","55","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","ALFONSO LOPEZ","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","17","jueves","25","SOLTERO","2017-08-17T00:00:00.000","MASCULINO","7.112136306","-73.12969739","08. agosto","PASAJERO MOTOCICLETA","PASAJERO MOTOCICLETA","05. García Rovira","28","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","ALFONSO LOPEZ","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","1","jueves","54","SOLTERO","2018-02-01T00:00:00.000","MASCULINO","7.115258209","-73.13257448","02. febrero","A PIE","A PIE","05. García Rovira","29","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","ALTOS DEL PROGRESO","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","16","viernes","19","UNION LIBRE","2013-08-16T00:00:00.000","MASCULINO","7.154812438","-73.131358","08. agosto","A PIE","A PIE","01. Norte","30","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","ALVAREZ","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","24","sábado","30","SOLTERO","2016-12-24T00:00:00.000","MASCULINO","7.127493688","-73.1092291","12. diciembre","A PIE","A PIE","13. Oriental","31","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","ALVAREZ","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","2","martes","23","SOLTERO","2017-05-02T00:00:00.000","MASCULINO","7.1212711","-73.10657907","05. mayo","A PIE","A PIE","13. Oriental","32","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","ALVAREZ","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","6","martes","17","SOLTERO","2017-06-06T00:00:00.000","MASCULINO","7.126688816","-73.11147174","06. junio","A PIE","A PIE","13. Oriental","33","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","ANTIGUO CAMPESTRE","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","14","lunes","40","SOLTERO","2014-04-14T00:00:00.000","MASCULINO","7.112990217","-73.11232801","04. abril","A PIE","A PIE","12. Cabecera del Llano","34","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","ANTONIA SANTOS SUR","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","13","lunes","20","SOLTERO","2010-09-13T00:00:00.000","MASCULINO","7.144371","-73.128085","09. septiembre","A PIE","A PIE","09. La Pedregosa","35","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","ANTONIA SANTOS SUR","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","30","domingo","30","NO REPORTA","2012-09-30T00:00:00.000","MASCULINO","7.144371","-73.128085","09. septiembre","A PIE","A PIE","09. La Pedregosa","36","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","ANTONIA SANTOS SUR","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","8","sábado","13","SOLTERO","2012-12-08T00:00:00.000","MASCULINO","7.125375834","-73.1155","12. diciembre","A PIE","A PIE","09. La Pedregosa","37","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","ANTONIA SANTOS SUR","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","19","viernes","20","SOLTERO","2014-09-19T00:00:00.000","MASCULINO","7.121838423","-73.1231474","09. septiembre","A PIE","A PIE","09. La Pedregosa","38","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","ANTONIA SANTOS SUR","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","29","lunes","35","SOLTERO","2018-01-29T00:00:00.000","MASCULINO","7.124030605","-73.12321894","01. enero","A PIE","A PIE","09. La Pedregosa","39","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","ANTONIA SANTOS SUR","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","25","miércoles","35","UNION LIBRE","2018-07-25T00:00:00.000","MASCULINO","7.1211525","-73.11833732","07. julio","A PIE","A PIE","09. La Pedregosa","40","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","ANTONIA SANTOS SUR","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","5","domingo","19","UNION LIBRE","2011-06-05T00:00:00.000","MASCULINO","7.144371","-73.128085","06. junio","A PIE","A PIE","09. La Pedregosa","41","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","ANTONIA SANTOS SUR","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","1","sábado","54","SOLTERO","2012-12-01T00:00:00.000","MASCULINO","7.100484015","-73.109723","12. diciembre","A PIE","A PIE","09. La Pedregosa","42","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","ASTURIAS","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","14","jueves","19","SOLTERO","2010-10-14T00:00:00.000","MASCULINO","7.100484015","-73.109723","10. octubre","A PIE","A PIE","09. La Pedregosa","43","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","BETANIA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","15","sábado","35","UNION LIBRE","2011-01-15T00:00:00.000","FEMENINO","7.164543102","-73.13852718","01. enero","A PIE","A PIE","01. Norte","44","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","BETANIA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","17","sábado","21","SOLTERO","2013-08-17T00:00:00.000","MASCULINO","7.155062551","-73.143856","08. agosto","A PIE","A PIE","01. Norte","45","URBANA"
"2015","ARMA BLANCA / CORTOPUNZANTE","BETANIA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","3","domingo","28","UNION LIBRE","2015-05-03T00:00:00.000","MASCULINO","7.15421419","-73.14132205","05. mayo","A PIE","A PIE","01. Norte","46","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","BETANIA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","14","lunes","28","SOLTERO","2016-03-14T00:00:00.000","MASCULINO","7.153586116","-73.14086039","03. marzo","A PIE","A PIE","01. Norte","47","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","BOLIVAR","Lesiones fatales","HOMICIDIO","06. Persona Mayor","ARTÍCULO 103. HOMICIDIO","2","domingo","67","SEPARADO","2017-07-02T00:00:00.000","MASCULINO","7.118784201","-73.12095515","07. julio","A PIE","A PIE","13. Oriental","48","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","BOSQUE NORTE","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","19","domingo","22","SOLTERO","2013-05-19T00:00:00.000","MASCULINO","7.142580599","-73.128523","05. mayo","A PIE","A PIE","02. Nor Oriental","49","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","BOSQUE NORTE","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","9","domingo","21","SOLTERO","2014-03-09T00:00:00.000","MASCULINO","7.142671045","-73.13331361","03. marzo","A PIE","A PIE","02. Nor Oriental","50","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","BUCARAMANGA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","9","domingo","33","SOLTERO","2016-10-09T00:00:00.000","MASCULINO","7.088969777","-73.13283254","10. octubre","A PIE","A PIE","08. Sur Occidente","51","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","BUCARAMANGA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","29","jueves","22","SOLTERO","2017-06-29T00:00:00.000","MASCULINO","7.094037038","-73.12518935","06. junio","A PIE","A PIE","08. Sur Occidente","52","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","BUCARAMANGA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","29","domingo","26","SOLTERO","2017-10-29T00:00:00.000","MASCULINO","7.094323465","-73.12689794","10. octubre","A PIE","A PIE","08. Sur Occidente","53","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","BUENOS AIRES","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","16","domingo","18","SOLTERO","2011-10-16T00:00:00.000","MASCULINO","7.170557382","-73.135108","10. octubre","A PIE","A PIE","14. Morrorico","54","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","CABECERA DEL LLANO","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","3","domingo","18","SOLTERO","2010-01-03T00:00:00.000","MASCULINO","7.138931278","-73.12023632","01. enero","A PIE","A PIE","12. Cabecera del Llano","56","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","CABECERA DEL LLANO","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","10","sábado","16","SOLTERO","2016-12-10T00:00:00.000","MASCULINO","7.116747858","-73.10988573","12. diciembre","A PIE","A PIE","12. Cabecera del Llano","57","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","CABECERA DEL LLANO","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","6","domingo","29","SOLTERO","2017-08-06T00:00:00.000","MASCULINO","7.113099132","-73.10980789","08. agosto","A PIE","A PIE","12. Cabecera del Llano","58","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","CABECERA DEL LLANO","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","24","domingo","30","SOLTERO","2018-06-24T00:00:00.000","MASCULINO","7.116716738","-73.1098669","06. junio","A PIE","A PIE","12. Cabecera del Llano","59","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","CAFE MADRID","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","12","sábado","26","SOLTERO","2010-06-12T00:00:00.000","MASCULINO","7.186940694","-73.13214533","06. junio","A PIE","A PIE","01. Norte","60","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","CAFE MADRID","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","1","domingo","31","CASADO","2012-04-01T00:00:00.000","MASCULINO","7.155062551","-73.143856","04. abril","A PIE","A PIE","01. Norte","61","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","CAFE MADRID","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","24","domingo","38","CASADO","2012-06-24T00:00:00.000","MASCULINO","7.155062551","-73.143856","06. junio","A PIE","A PIE","01. Norte","62","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","CAFE MADRID","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","1","sábado","23","SOLTERO","2012-09-01T00:00:00.000","MASCULINO","7.186940694","-73.13214533","09. septiembre","A PIE","A PIE","01. Norte","63","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","CAFE MADRID","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","25","viernes","21","SOLTERO","2014-04-25T00:00:00.000","MASCULINO","7.165111368","-73.14045901","04. abril","A PIE","A PIE","01. Norte","64","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","CAFE MADRID","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","15","martes","22","SOLTERO","2016-11-15T00:00:00.000","MASCULINO","7.159967077","-73.14129982","11. noviembre","A PIE","A PIE","01. Norte","65","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","CAFE MADRID","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","3","viernes","29","SOLTERO","2017-03-03T00:00:00.000","MASCULINO","7.164144117","-73.1411152","03. marzo","A PIE","A PIE","01. Norte","66","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","CAFE MADRID","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","10","martes","21","SOLTERO","2018-04-10T00:00:00.000","MASCULINO","7.163195598","-73.14140431","04. abril","A PIE","A PIE","01. Norte","67","URBANA"
"2015","ARMA BLANCA / CORTOPUNZANTE","CAMILO TORRES","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","7","sábado","45","UNION LIBRE","2015-11-07T00:00:00.000","FEMENINO","7.121705575","-73.14011837","11. noviembre","A PIE","A PIE","05. García Rovira","68","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","CAMPO HERMOSO","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","9","jueves","25","SOLTERO","2010-12-09T00:00:00.000","MASCULINO","7.120645358","-73.12605","12. diciembre","A PIE","A PIE","05. García Rovira","69","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","CAMPO HERMOSO","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","23","domingo","24","UNION LIBRE","2011-01-23T00:00:00.000","MASCULINO","7.120645358","-73.12605","01. enero","A PIE","A PIE","05. García Rovira","70","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","CAMPO HERMOSO","Lesiones fatales","HOMICIDIO","06. Persona Mayor","ARTÍCULO 103. HOMICIDIO","26","martes","62","UNION LIBRE","2011-04-26T00:00:00.000","MASCULINO","7.120645358","-73.12605","04. abril","A PIE","A PIE","05. García Rovira","71","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","CAMPO HERMOSO","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","17","miércoles","20","SOLTERO","2014-09-17T00:00:00.000","MASCULINO","7.112405917","-73.13220253","09. septiembre","A PIE","A PIE","05. García Rovira","72","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","CAMPO HERMOSO","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","26","domingo","20","SOLTERO","2014-10-26T00:00:00.000","MASCULINO","7.105206371","-73.13956615","10. octubre","A PIE","A PIE","05. García Rovira","73","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","CANDILES","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","30","sábado","35","SOLTERO","2014-08-30T00:00:00.000","MASCULINO","7.107327613","-73.1265699","08. agosto","A PIE","A PIE","06. La Concordia","74","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","CANDILES","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","23","martes","45","CASADO","2018-01-23T00:00:00.000","FEMENINO","7.109019486","-73.12708132","01. enero","CONDUCTOR MOTOCICLETA","A PIE","06. La Concordia","75","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","CENTRO","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","8","lunes","27","UNION LIBRE","2010-03-08T00:00:00.000","MASCULINO","7.178045669","-73.13022442","03. marzo","A PIE","A PIE","15. Centro","76","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","CENTRO","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","17","miércoles","35","UNION LIBRE","2010-03-17T00:00:00.000","MASCULINO","7.178045669","-73.13022442","03. marzo","A PIE","A PIE","15. Centro","77","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","CENTRO","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","23","domingo","28","SOLTERO","2010-05-23T00:00:00.000","MASCULINO","7.178045669","-73.13022442","05. mayo","A PIE","A PIE","15. Centro","78","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","CENTRO","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","27","martes","27","SOLTERO","2010-07-27T00:00:00.000","MASCULINO","7.178045669","-73.13022442","07. julio","A PIE","A PIE","15. Centro","79","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","CENTRO","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","11","sábado","32","SOLTERO","2010-09-11T00:00:00.000","MASCULINO","7.178045669","-73.13022442","09. septiembre","A PIE","A PIE","15. Centro","80","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","CENTRO","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","29","viernes","23","UNION LIBRE","2010-10-29T00:00:00.000","FEMENINO","7.178045669","-73.13022442","10. octubre","A PIE","A PIE","15. Centro","81","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","CENTRO","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","26","domingo","30","SOLTERO","2010-12-26T00:00:00.000","MASCULINO","7.178045669","-73.13022442","12. diciembre","A PIE","A PIE","15. Centro","82","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","CENTRO","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","1","sábado","36","SOLTERO","2011-01-01T00:00:00.000","MASCULINO","7.178045669","-73.13022442","01. enero","A PIE","A PIE","15. Centro","83","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","CENTRO","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","3","lunes","50","UNION LIBRE","2011-10-03T00:00:00.000","MASCULINO","7.178045669","-73.13022442","10. octubre","NO REPORTA","NO REPORTA","15. Centro","84","URBANA"
